,TEP_mean_uV_C,TEP_error_uV_C,Absorption_avg_500,Absorption_std_500,backscatter_avg,backscatter_std,Absorption_avg_50,Absorption_std_50,A,A std,B,B std,p,p std,Absorption_avg_100,Absorption_std_100,Absorption_avg_200,Absorption_std_200,median_CF,std_CF,median_perm,std_perm,median_MBN,std_MBN
T_B1,12.947950786534287,0.07311168428766647,0.00023349999999999998,1.804e-05,0.0175,0.0042,0.001264,0.0005194,4.41e-13,4.0899999999999997e-07,0.000875,0.000218,0.21899999999999997,0.0247,0.0006816,0.0001927,0.0003725,9.437e-05,1.1,0.01341844050009338,68.5,1.115347479487895,0.473,0.1272819347318814
T_B2,12.920067913159315,0.07781396883657651,0.0005706,0.00013852,0.024,0.0057,0.002486,0.0008156000000000001,1.52e-06,1.51e-06,0.00201,0.000802,0.273,0.0908,0.0010693,0.0003645,0.0008744,0.00023438,1.1095000000000002,0.015721438749797558,66.45,0.8902502201883752,0.6305000000000001,0.1104430746007767
T_B3,12.93286533920109,0.08876209804061627,0.0002435,2.995e-05,0.0134,0.0028,0.001168,0.0005554,4.270000000000001e-13,5.64e-07,0.000799,0.0003,0.218,0.034,0.0006581,0.0002457,0.00034940000000000004,7.753e-05,1.0795,0.01648911486681164,68.4,0.7700059031650931,0.5765,0.17815682570548494
T_B4,10.763517094529838,0.07117305455037064,0.0003787,9.973e-05,0.0146,0.0031,0.002084,0.000648,7.58e-07,1e-06,0.00121,0.000535,0.299,0.0605,0.0009208,0.00022309999999999997,0.0007006,0.0001357,4.5139999999999985,0.032860310406324436,32.9,0.4346367344220817,0.5005000000000001,0.05254677569902491
T_B5,12.942958117358149,0.07480762206392534,0.0002299,3.349e-05,0.0182,0.004,0.001141,0.0004475,3.97e-13,4.6700000000000004e-07,0.0008900000000000002,0.00024900000000000004,0.245,0.0282,0.0005708999999999999,0.0001134,0.0003974,8.808e-05,1.429,0.017591320173726194,64.95,1.1738824472663352,0.5379999999999999,0.04265549096061266
T_B6,11.037827119900609,0.09063579814853044,0.00023999999999999998,2.59e-05,0.0148,0.0031,0.0013230000000000002,0.0005744,1.3500000000000001e-12,3.5e-07,0.000541,0.00018700000000000002,0.209,0.0211,0.0008179999999999999,0.0003448,0.0004008,0.00010974,4.672,0.06888725967444596,34.05,0.8812181651245373,0.301,0.030725470630318188
T_B7,12.882150025040646,0.09906588175280766,0.0004056,8.392999999999999e-05,0.03,0.0087,0.0019079999999999998,0.0009261000000000001,4.820000000000001e-13,1.25e-06,0.00244,0.000665,0.495,0.0752,0.0010136,0.0003346,0.0005251,7.959e-05,0.6579999999999999,0.05946060575173818,103.55,6.020102687133861,0.6074999999999999,0.05256874287323912
T_B8,12.257787611009974,0.08091971063027903,0.0003193,7.637e-05,0.0269,0.0062,0.000933,0.0003036,4.42e-12,4.41e-07,0.0009720000000000001,0.00023500000000000002,0.247,0.0266,0.0006166,0.0001743,0.00041600000000000003,9.148e-05,2.04,0.3720006353855767,57.8,3.940835167598592,0.3745000000000001,0.22369813263738828
T_AR,12.947030549821134,0.0897865940408384,0.0002833,2.266e-05,0.0179,0.0038,0.001257,0.0002097,4.4299999999999993e-13,5.06e-07,0.000851,0.00027,0.203,0.0305,0.0009824,0.00032539999999999994,0.00048819999999999994,8.135e-05,1.2355,0.02804023083811092,61.85,0.4354725750680107,0.594,0.08216480113439417
T_N,10.805126285744514,0.07684209530164532,0.0004431,7.462e-05,0.0253,0.0054,0.003128,0.0011471,1.44e-07,1.73e-06,0.00148,0.000921,0.28800000000000003,0.10400000000000001,0.0009585,0.00017529999999999998,0.0006567,6.239e-05,4.496,0.032598382558871694,33.4,0.2913916452287049,0.5914999999999999,0.07006140164170281
T_N_T,12.914502863735466,0.0773279417584635,0.0005302000000000001,6.57e-05,0.027000000000000003,0.0082,0.001838,0.0006222,2.07e-06,1.28e-06,0.00141,0.0006799999999999999,0.302,0.077,0.0012873,0.00032960000000000004,0.0008345000000000001,0.00016489,1.1124999999999998,0.01305582419667733,67.2,0.7216143518024489,0.91,0.2720912614279528
T_T,12.932689744901175,0.07270016374308493,0.00028310000000000005,2.818e-05,0.019,0.0042,0.001611,0.0008728999999999999,4.1e-13,4.06e-07,0.0007509999999999999,0.000217,0.20199999999999999,0.0245,0.0007416,0.00028680000000000003,0.0003838,4.1289999999999986e-05,1.1065,0.07973843603820048,67.1,1.114287379286134,0.5525,0.2055622887240132
T_OT,12.299227648287607,0.098704041918809,0.000332,3.053e-05,0.0253,0.0057,0.001526,0.00043339999999999996,3.9899999999999986e-13,5.1e-07,0.000731,0.000272,0.20800000000000002,0.0308,0.00078,0.0002345,0.0004763999999999999,0.00011409,1.7919999999999998,0.3817067651292737,60.45,4.123546575902395,0.4335,0.4641022026940344
T_FF,12.865766979421904,0.09333526433252892,0.0004931,6.446e-05,0.0201,0.0051,0.003377,0.000817,2.67e-07,1.27e-06,0.0019100000000000002,0.000678,0.391,0.0767,0.000866,0.0002764,0.0006567999999999999,8.823e-05,0.6729999999999999,0.032451362207015444,102.8,2.8662931398648617,0.9525,0.310267655713286
T_HAZ,11.010269529605637,0.07363545146660745,0.0003486,2.748e-05,0.0156,0.0034,0.001693,0.0004597000000000001,4.04e-13,4.81e-07,0.000772,0.000256,0.262,0.029,0.0010512,0.000437,0.0004252,6.627e-05,4.718,0.04485106667425185,33.8,0.5502065727772364,0.324,0.027290357937623987
T_HAZ_T,12.97408760520834,0.0815022030144532,0.0003551,0.0001113,0.0227,0.0063,0.00139,0.0004182,4.2299999999999996e-13,4.47e-07,0.000802,0.00023799999999999998,0.244,0.0269,0.0007882999999999999,0.0003172,0.0004936,0.00017576,1.095,0.008720925722338483,69.80000000000001,1.2801988481908149,0.4945000000000001,0.2295044463819621
